customer_id,name,age,address,phone,email,income,credit_score,employment_status,risk_category,customer_since,active_loans
1,Darin Burgess,18,"91510 Brianna Manors, East Evan, OR 62857",027.832.7860x853,julienewton@perry-lewis.org,97898,788,Employed,High,1/24/2018,3
2,Steven Hicks,68,"USS Webb, FPO AE 01471",340-318-6827,nicolesmith@walker.org,44180,513,Employed,Low,12/30/2016,1
3,Mark Olson,43,"9824 Escobar Springs, Joannechester, NY 98209",2450680190,caseyfrederick@stephens.org,129374,479,Employed,High,03/06/2022,3
4,George Davies,54,"PSC 6033, Box 5353, APO AP 60815",189.201.7376,patricia20@ramos-morris.com,86934,830,Unemployed,Low,01/05/2020,1
5,Julie Hart,70,"PSC 0292, Box 3505, APO AP 87178",(781)493-2078x621,kmoore@yahoo.com,132781,550,Employed,Low,06/03/2018,1
6,Debra Gibson,55,"500 Darren Harbors, Kellistad, NH 48253",997.771.2141x7613,sharonyoung@hotmail.com,76611,556,Unemployed,Low,12/24/2020,3
7,Steven Nolan,61,"4487 Snyder Estates Apt. 482, Sandystad, CA 26030",001-973-756-4437,bryantdawn@hotmail.com,131691,372,Employed,Low,01/11/2018,1
8,Ashley Young,20,"238 Miller Circles Apt. 520, Port John, TX 88835",352-641-6277x03681,foleydaniel@owens.com,140410,557,Employed,Medium,9/14/2015,0
9,Margaret Miller,28,"3821 Frances Hollow Suite 299, Obrienshire, OK 48450",936.522.2211x115,amandawilcox@reeves.com,148973,440,Unemployed,Medium,04/05/2020,5
10,Monica Ochoa,34,"260 Reed Rue Suite 941, West Lisahaven, MO 41190",443-162-4111,zbrown@hotmail.com,89843,754,Employed,Medium,9/23/2019,3
11,Jason James,56,"3529 Michele Trail Suite 800, East Jamieborough, WA 64010",+1-273-175-2727x65467,zachary18@hotmail.com,80537,481,Self-Employed,Medium,9/13/2022,1
12,Katherine Martinez,48,"0217 Warren Divide Suite 025, New Kimberly, VA 39719",(110)849-5099x0161,jenna67@gmail.com,33664,803,Employed,Medium,10/15/2019,1
13,Heather Garrison,37,"386 Kyle Forest Suite 574, East Rhondatown, ME 30875",431413561,rebecca13@martin.com,141647,774,Employed,High,3/20/2018,4
14,Katherine Smith,57,"035 Rose Point, Jonestown, MT 00683",169-430-8723,hortonnancy@davis-owens.com,31366,331,Unemployed,Medium,04/08/2019,1
15,Megan Johnson,54,"207 Banks Extensions, New Jamesborough, OR 66829",+1-276-637-3378x526,tamarayork@french-carson.com,117711,642,Employed,Medium,01/05/2023,3
16,Jonathan Patel,22,"142 Ernest Dam Apt. 493, New Scott, CA 29682",001-396-900-4374x69317,mary73@banks-kaufman.info,123321,304,Self-Employed,Low,5/30/2022,5
17,Jenna Contreras MD,27,"7733 Rickey Freeway, Susantown, MT 24351",501099161,lamberthannah@yahoo.com,52383,511,Employed,Low,5/19/2015,3
18,Vanessa Smith,19,"8726 Benjamin Overpass Suite 779, Davidfort, DC 99214",736-855-4842,imurray@foster-villa.com,25329,444,Self-Employed,Low,5/19/2023,2
19,Jonathan Vargas,28,"57107 Nguyen Motorway, Bryanburgh, AR 43786",811-905-2250x00955,meghan43@hotmail.com,66720,383,Self-Employed,Medium,1/23/2024,3
20,Dr. Timothy Juarez,44,"33089 Rogers Pines Suite 363, West Michael, GA 97438",+1-931-351-6482x078,ehunt@watson.com,104071,765,Unemployed,Low,06/04/2022,5
21,Jacob Wood,24,"4035 Kemp Ridges Apt. 654, East Amy, DC 43236",-8036,kimcindy@ross-rogers.org,96245,846,Unemployed,Low,05/08/2022,5
22,Whitney Clark,47,"6251 Jefferson Rapids, Brandonport, MT 25915",001-475-255-3634x512,erin87@carr-yang.net,117118,569,Employed,High,1/19/2021,5
23,Russell Hernandez,63,"8904 Devin Grove, Johnsonborough, ME 08903",900.396.5471x472,tatedanielle@casey.com,115541,749,Unemployed,Medium,12/03/2021,4
24,Keith Jackson,32,"658 Larsen Radial Suite 489, Armstrongbury, PA 60458",8455023758,colleenpowers@gmail.com,65905,843,Employed,High,08/02/2018,5
25,Christopher Gutierrez,24,"7542 Phyllis Flat Apt. 310, South Harry, RI 95947",532.538.0065x86613,jasonluna@yahoo.com,40639,835,Unemployed,High,04/05/2024,0
26,Sarah Armstrong,50,"Unit 7967 Box 9046, DPO AE 98754",255.943.7888x395,liwilliam@hartman-hall.org,79298,494,Unemployed,Low,2/16/2021,3
27,Ms. Kimberly Gomez DVM,47,"PSC 6116, Box 6816, APO AP 15528",3982423971,stephen03@gmail.com,118908,499,Self-Employed,Low,3/27/2021,3
28,Victor Haynes,49,"43499 Mcdaniel Highway, North Adamberg, MT 50820",459.647.3245x66832,xalvarez@wiley.biz,55113,740,Unemployed,Low,9/23/2017,4
29,Kara Harris,21,"USS Johnson, FPO AE 49166",296.812.1675x40516,vperry@yahoo.com,110388,316,Unemployed,Medium,12/07/2019,0
30,Mckenzie Love,66,"8290 Roberts Crest Suite 049, North Herbert, OR 50621",997-358-9930x7625,julie66@gmail.com,99740,748,Employed,Low,7/19/2020,1
31,Cory Wong,30,"6584 Wilkerson River, North Stacie, MA 49593",8754935728,hermanchristopher@gmail.com,89885,346,Self-Employed,Medium,6/16/2023,5
32,Paul Jensen,65,"42151 Theresa Estate Suite 689, Lake Julie, MA 28684",(790)930-5140,jodi31@small.net,60058,691,Unemployed,Medium,08/07/2017,4
33,Michael Stein,43,"562 John Circle Apt. 160, Alexandraburgh, MO 56805",808.755.7656,sserrano@williams-rosales.com,44924,649,Self-Employed,Low,6/27/2017,3
34,Jason Williams,22,"34656 Benson Prairie Suite 049, South Kristinaside, OK 10730",(589)321-7109,davilajustin@carrillo.net,80000,808,Employed,Low,9/26/2020,1
35,Mary Silva,62,"2043 David Turnpike, Pearsontown, WV 45159",815.441.3078x8890,william60@hotmail.com,28984,404,Unemployed,Medium,11/30/2019,0
36,Michael Ruiz,32,"PSC 2700, Box 2619, APO AA 12834",(041)603-4232x07501,riosariel@gmail.com,75851,731,Employed,Low,07/09/2018,4
37,Jennifer Goodman,62,"7810 Robert Forks Apt. 424, Jeffreychester, MO 56907",(875)369-2923,patricia85@gmail.com,47560,783,Self-Employed,Low,08/11/2021,1
38,Theresa Richardson,54,"7736 Mikayla Flat, East Cody, WI 11194",+1-806-534-2065x9889,jenniferdaniels@hotmail.com,46852,623,Self-Employed,Low,09/06/2023,2
39,Selena Roberts,61,"0571 Kyle Ford, Rossville, IN 84934",3447802488,kathleen16@hotmail.com,99727,506,Employed,Medium,4/23/2022,1
40,Mark Wright,22,"3177 Williams Trafficway Apt. 266, Port Lori, WV 96132",217-199-6126,willisdanny@harvey.com,58968,808,Self-Employed,High,12/04/2023,5
41,Kimberly Douglas,60,"2351 Jacqueline Estates, Doughertyberg, AK 15443",876.711.6961x61896,tpayne@yahoo.com,39086,632,Employed,High,09/01/2019,0
42,Anne Adams,56,"Unit 7129 Box 6171, DPO AP 41720",416.231.4545x4220,donaldadams@delgado.org,59828,839,Self-Employed,Medium,09/04/2021,5
43,Cynthia Wilkins,27,"274 Karen Meadows, New Jessica, AK 21632",+1-362-109-2969x3696,tmartinez@gmail.com,132718,728,Employed,Low,3/27/2018,5
44,Andrew Francis,44,"086 Kayla Burgs, Lake Anthony, NJ 05625",705-497-2291x77758,stephanie24@gmail.com,46102,634,Employed,Low,4/22/2015,2
45,Destiny Stevenson,30,"0912 Conner Meadow Suite 068, Maryport, WY 72370",435.461.5548x78127,burnsscott@hotmail.com,76340,714,Self-Employed,High,09/06/2018,1
46,Meagan Bradley,66,"98605 Dalton Points Suite 827, Smithfort, IA 11307",+1-298-308-1442x88640,hooperamber@duncan.com,107560,393,Employed,Medium,05/10/2020,4
47,Elizabeth Bass,66,"1108 Paul Turnpike Suite 225, Cathyberg, MS 82512",184.416.4579x9211,heather33@bowman-roy.net,132237,512,Self-Employed,High,9/17/2015,0
48,David Ellis,46,"08854 Smith Dam Apt. 223, Port Caitlinton, SC 21956",001-331-311-0977x12656,claudiatapia@gmail.com,85927,821,Employed,Medium,10/09/2020,1
49,Jeremy Ross,42,"893 Cherry Island, East Jonathon, TN 29796",293.801.1743x4720,ellenmoore@shaw.org,129274,556,Self-Employed,Low,10/22/2015,2
50,Teresa Scott,46,"545 Watts Viaduct, New Laura, MO 26421",001-344-437-2925x99484,wwashington@gmail.com,70606,714,Self-Employed,High,9/23/2024,2
51,Richard Lee,52,"9045 Baker Camp, Kimberlyland, NY 74536",(325)566-1152x402,douglas37@franklin-webb.com,107603,466,Self-Employed,Medium,2/23/2024,3
52,Steven Watkins,49,"497 David Burg, West Xavierfurt, LA 28374",675.251.3078x695,kerrwendy@king.com,84550,690,Self-Employed,High,01/06/2022,5
53,Lisa Nelson,22,"3336 Rhonda Cliff Suite 076, New Todd, NY 60695",045-363-0223,johnsonmatthew@yahoo.com,76772,525,Unemployed,Low,8/22/2017,5
54,Kristin Mullen,51,"PSC 9284, Box 6341, APO AP 55546",7603861257,garciajames@harris.com,40077,829,Employed,Low,9/16/2016,3
55,Melissa Lowe,53,"0497 Brown Flat, North Mark, IA 37675",865-255-5904x73723,danielalexander@brown-johnson.com,140117,347,Unemployed,Low,11/22/2019,2
56,James Brown,67,"07389 Montgomery Mills Suite 557, Lake Gary, AZ 36974",895.085.2015x03872,ibooth@gmail.com,82421,810,Employed,High,4/21/2024,4
57,Molly Thompson,18,"6275 Sarah Stravenue, North Alyssa, MS 01408",(969)686-0847x49176,tyler61@joseph.info,75460,710,Unemployed,Low,03/06/2023,4
58,Eileen Browning,67,"2169 Richard Stream Apt. 022, Lake Jennifer, IA 04159",6756559942,juliamontgomery@hotmail.com,41041,787,Unemployed,Medium,3/22/2019,2
59,John West,57,"515 Henson Course, Taylorland, FL 11387",-9645,albert28@wright-parker.com,111446,786,Unemployed,Medium,6/20/2018,3
60,Andrea Anthony,66,"913 David Throughway Apt. 554, East Sarastad, ME 85172",001-650-876-7564x281,marylittle@yahoo.com,147915,766,Employed,Low,10/05/2018,0
61,Jasmin Griffin,48,"491 Timothy Parks, Scottbury, AR 79128",+1-281-646-5522x73785,joseph61@ortiz.com,34070,525,Self-Employed,Medium,4/25/2023,3
